province,month,cpi_inflation_yoy,core_inflation_yoy,food_price_index,exchange_rate_change_pct,qris_transactions_growth_pct,online_sentiment_score,unemployment_rate,hotel_occupancy_rate,rainfall_index,commodity_price_index,high_inflation_pressure,month_num,quarter
NTB,2024-06-01,1.13,2.42,98.93,-0.56,23.93,0.08,4.55,78.55,126.23,97.6,0,6,2
NTB,2024-07-01,1.72,2.74,97.09,1.02,9.81,0.316,3.99,71.89,94.26,96.18,0,7,3
NTB,2024-08-01,1.78,2.78,99.34,0.79,30.33,-0.224,6.81,65.17,73.41,94.68,0,8,3
NTB,2024-09-01,1.48,2.63,98.34,1.81,12.51,0.117,3.95,67.35,112.41,98.32,0,9,3
NTB,2024-10-01,1.6,2.57,100.5,0.59,26.48,-0.116,5.88,75.51,54.05,101.28,0,10,4
NTB,2024-11-01,2.58,2.99,102.8,-0.31,16.54,0.098,4.11,54.63,126.9,96.6,1,11,4
NTB,2024-12-01,1.83,2.84,96.24,-0.52,26.27,-0.126,4.73,70.39,130.23,100.19,0,12,4
NTB,2025-01-01,2.71,2.9,106.97,1.23,20.5,-0.058,4.37,72.01,123.25,105.61,1,1,1
NTB,2025-02-01,1.98,2.77,105.08,-0.95,18.06,0.175,7.19,92.0,128.17,99.27,0,2,1
NTB,2025-03-01,2.42,2.85,102.56,2.2,21.25,0.2,5.86,72.11,115.56,98.73,0,3,1
NTB,2025-04-01,2.36,3.1,105.04,1.09,22.44,0.458,5.19,74.17,72.8,99.65,0,4,2
NTB,2025-05-01,2.01,2.59,99.86,0.07,12.16,0.041,6.09,72.51,107.06,100.2,0,5,2
NTB,2025-06-01,2.01,2.65,102.63,0.61,22.61,0.004,3.04,76.42,84.47,96.55,0,6,2
NTB,2025-07-01,1.67,2.7,103.19,0.83,23.61,-0.181,6.41,67.43,85.83,100.57,0,7,3
NTB,2025-08-01,0.85,2.23,95.37,-1.34,12.14,0.365,4.57,78.75,81.39,93.17,0,8,3
NTB,2025-09-01,1.34,2.36,98.24,-0.45,20.89,0.23,6.31,77.66,84.99,94.7,0,9,3
NTB,2025-10-01,1.78,2.68,95.6,-0.9,21.84,0.109,5.23,56.98,88.11,96.3,0,10,4
NTB,2025-11-01,2.09,2.66,95.12,-0.79,12.27,-0.053,5.11,51.18,91.67,97.18,0,11,4
NTB,2025-12-01,2.41,2.76,99.76,0.42,17.21,0.03,6.87,78.73,84.41,104.52,0,12,4
Riau,2024-01-01,1.84,2.76,106.41,-1.08,12.68,0.344,5.19,63.29,121.54,103.06,0,1,1
Riau,2024-02-01,2.39,3.03,105.63,-0.1,17.22,-0.217,5.43,64.25,113.45,106.0,0,2,1
Riau,2024-03-01,1.99,3.04,100.26,0.2,16.54,0.14,4.55,57.85,115.27,100.95,0,3,1
Riau,2024-04-01,2.17,2.51,108.47,-1.19,21.04,-0.021,5.18,61.61,91.66,99.56,0,4,2
Riau,2024-05-01,2.29,2.89,98.11,0.08,13.73,0.27,6.41,52.54,101.32,103.5,0,5,2
Riau,2024-06-01,2.4,3.17,102.92,0.68,11.01,0.311,5.81,49.75,95.83,104.23,0,6,2
Riau,2024-07-01,2.62,2.77,107.9,-0.71,10.27,0.187,5.64,53.76,125.92,96.15,1,7,3
Riau,2024-08-01,2.29,3.03,105.13,2.34,13.46,-0.001,5.78,51.5,92.18,101.6,0,8,3
Riau,2024-09-01,2.06,2.84,96.51,-0.39,24.96,-0.156,5.73,52.25,86.75,104.66,0,9,3
Riau,2024-10-01,1.63,2.57,102.5,-0.21,14.27,-0.119,4.09,83.2,120.56,96.1,0,10,4
Riau,2024-11-01,2.28,2.94,103.64,0.83,16.12,0.062,5.25,56.77,63.13,101.78,0,11,4
Riau,2024-12-01,2.84,3.32,112.87,0.63,15.82,0.293,5.4,60.99,126.35,110.93,1,12,4
Riau,2025-01-01,2.22,2.7,97.78,0.76,12.67,0.028,4.62,67.32,134.26,96.52,0,1,1
Riau,2025-02-01,2.61,2.74,97.13,-0.09,15.85,0.654,5.35,45.73,102.39,105.59,1,2,1
Riau,2025-03-01,3.21,3.29,97.24,2.29,19.48,-0.101,5.45,34.06,97.17,104.01,1,3,1
Riau,2025-04-01,2.55,2.95,103.94,-0.79,18.78,-0.107,4.51,49.36,111.14,106.13,1,4,2
Riau,2025-05-01,2.15,2.84,95.95,-0.18,17.19,0.697,3.81,71.96,117.98,102.62,0,5,2
Riau,2025-06-01,2.03,2.92,101.69,0.09,23.81,0.361,4.29,44.47,90.53,98.3,0,6,2
Riau,2025-07-01,1.93,2.4,98.02,0.1,17.75,0.307,2.67,50.19,98.6,106.3,0,7,3
Riau,2025-08-01,2.41,3.01,101.28,-0.55,11.26,-0.017,4.74,49.44,44.66,105.09,0,8,3
Riau,2025-09-01,2.38,3.02,94.94,-0.07,17.42,0.252,5.59,47.93,94.7,103.33,0,9,3
Riau,2025-10-01,1.84,2.7,101.87,0.24,24.78,0.21,4.06,68.51,108.54,99.73,0,10,4
Riau,2025-11-01,2.65,3.34,103.35,0.45,19.07,0.464,5.99,57.76,132.66,98.57,1,11,4
Riau,2025-12-01,2.64,2.79,101.66,-0.7,14.06,-0.15,4.14,53.48,82.08,102.76,1,12,4
Lampung,2024-01-01,2.21,2.76,103.09,1.28,14.41,0.308,3.87,66.51,117.83,102.21,0,1,1
Lampung,2024-02-01,2.38,2.93,103.9,-0.89,20.24,-0.181,5.81,47.11,126.97,102.5,0,2,1
Lampung,2024-03-01,3.15,3.14,105.01,-0.36,12.59,-0.342,5.32,44.23,99.2,100.15,1,3,1
Lampung,2024-04-01,2.7,3.09,102.76,1.04,19.58,0.16,5.44,44.23,113.47,103.65,1,4,2
Lampung,2024-05-01,2.53,3.19,101.16,0.0,19.57,0.435,6.05,45.58,109.74,105.32,1,5,2
Lampung,2024-06-01,2.46,3.35,107.64,1.28,19.13,0.35,5.11,57.23,87.27,106.25,0,6,2
Lampung,2024-07-01,2.6,2.77,101.65,-1.39,19.75,-0.342,5.59,64.36,80.92,100.49,1,7,3
Lampung,2024-08-01,2.37,3.29,95.68,1.78,28.04,0.121,5.98,67.93,76.85,98.06,0,8,3
Lampung,2024-09-01,2.32,2.9,101.17,-0.82,28.17,0.003,4.63,58.15,127.09,103.42,0,9,3
Lampung,2024-10-01,3.14,3.55,99.54,0.76,4.68,0.055,5.21,44.25,101.68,99.18,1,10,4
Lampung,2024-11-01,2.82,2.96,100.37,0.06,17.45,-0.009,5.16,48.75,87.08,103.69,1,11,4
Lampung,2024-12-01,2.47,2.74,105.84,-0.46,19.15,0.27,4.93,61.32,101.64,100.41,0,12,4
Lampung,2025-01-01,2.38,2.65,100.68,-1.55,15.28,0.057,4.71,55.76,112.69,101.92,0,1,1
Lampung,2025-02-01,2.31,2.67,97.6,-1.0,15.3,0.043,4.2,46.51,104.78,100.73,0,2,1
Lampung,2025-03-01,2.72,3.47,102.66,-0.79,17.67,-0.097,5.54,42.13,89.19,102.4,1,3,1
Lampung,2025-04-01,2.76,2.85,105.14,-0.87,17.34,-0.301,4.89,50.9,116.96,99.0,1,4,2
Lampung,2025-05-01,2.09,2.8,107.39,-0.2,27.36,0.299,5.45,61.55,104.71,92.29,0,5,2
Lampung,2025-06-01,1.5,2.18,100.43,-1.4,17.56,0.495,6.21,56.41,115.93,98.53,0,6,2
Lampung,2025-07-01,2.61,2.68,105.37,-0.15,16.57,0.054,6.87,71.4,142.76,99.36,1,7,3
Lampung,2025-08-01,2.08,2.77,104.56,-1.13,18.96,-0.121,4.38,47.23,79.81,97.84,0,8,3
Lampung,2025-09-01,2.05,2.85,95.33,0.39,24.17,0.007,4.25,52.71,118.85,100.78,0,9,3
Lampung,2025-10-01,2.21,3.0,95.53,0.9,19.96,0.052,4.13,46.76,104.95,104.92,0,10,4
Lampung,2025-11-01,1.8,2.2,94.7,-0.41,17.67,-0.11,4.03,49.61,118.38,100.45,0,11,4
Lampung,2025-12-01,2.8,2.76,100.58,0.73,3.55,-0.02,4.44,70.19,104.53,102.73,1,12,4
